case_number,year,country,area,location,activity,sex,age,injured_part,fatal,time,species
1968.00.00.b,1968,USA,Florida,"Key West, Monroe County",Diving,Unknown,Unknown,Unknown,N,13,nurse shark
1931.01.24,1931,AUSTRALIA,Torres Strait,Near Thursday Island,Unknown,M,Unknown,Unknown,N,Unknown,Unknown
1880.00.00.a,1880,NEW ZEALAND,South Island,Campbellï¿½ï¿½ï¿,Unknown,M,Unknown,Unknown,N,Unknown,Unknown
1842.00.00.a,1842,AUSTRALIA,New South Wales,Sydney Harbor,"Unknown, but it was said to be the ""First known attack in Sydney Harbour""",M,Unknown,Unknown,N,Unknown,Unknown
ND.0073,1963,SINGAPORE,Unknown,"Keppel Harbor,  2 miles from Singapore city center",Swimming,Unknown,Unknown,Unknown,N,Unknown,Unknown
1929.12.21,1929,AUSTRALIA,Torres Strait,Thursday Island,Diving,M,Unknown,Unknown,N,Unknown,Unknown
1953.07.11,1953,PACIFIC OCEAN,330 to 350 miles east of Wake Island,Unknown,Royal Hawaiian skymaster DC-6B aircraft went down with  58 passenger & crew,Unknown,Unknown,Unknown,N,Unknown,Unknown
1942.06.08.R,1942,BRAZIL,Unknown,Unknown,boat capsized during filming,M,Unknown,Unknown,Y,Unknown,Unknown
1967.09.20,1967,USA,Hawaii,"Kailua Bay, O'ahu",Boat capsized between O'ahu & Molokai,M,Unknown,Unknown,Y,Unknown,Unknown
1908.06.02.R,1908,PAPUA NEW GUINEA,New Britain,Matupi,Unknown,Unknown,Unknown,Unknown,Y,Unknown,Unknown
1930.04.08,1930,SOUTH AFRICA,Eastern Cape Province,Bashee River,Unknown,M,17,Unknown,Y,Unknown,blue shark
1930.01.22,1930,MEXICO,Veracruz,Panuco River Mouth,Fishing schooner Jose Luis foundered,Unknown,Unknown,Unknown,Y,Unknown,Unknown
1909.06.26.b.R,1909,SOUTH AFRICA,Western Cape Province,Cape Town,Unknown,M,Unknown,Unknown,Y,Unknown,Unknown
1984.01.04,1984,SOUTH AFRICA,KwaZulu-Natal,Umlaas Canal,Unknown,F,14,Unknown,Y,Unknown,Unknown
2001.06.09,2001,AUSTRALIA,New South Wales,Lord Howe Island (island group 440 miles northeast of Sydney),Hiking on the beach,M,75,Unknown,Y,Unknown,Unknown
1987.12.13,1987,AUSTRALIA,New South Wales,Shoalhaven,Unknown,F,17,Unknown,Y,Unknown,tiger shark
1962.01.08,1962,AUSTRALIA,New South Wales,Lake Illawarra,Swimming,M,25,Unknown,Y,Unknown,Unknown
1982.09.04,1982,USA,Florida,"Hollywood Beach, Broward County",Unknown,M,25,Unknown,Y,Unknown,tiger shark
1934.08.26.R,1934,ITALY / CROATIA,Unknown,Kralievica,Swimming,F,Unknown,Unknown,N,Unknown,white shark
2000.03.03.R,2000,NEW ZEALAND,North Island,Between the Kakanui River and Campbell's Bay,Kayaking,M,27,Unknown,Y,Unknown,Unknown
1989.01.26.b,1989,USA,California,"Latigo Point / Paradise Cove, west of Malibu, Los Angeles County",Kayaking,M,24,Unknown,Y,10,white shark
1898.07.26.R,1898,AUSTRALIA,New South Wales,Sydney,Swimming after their boat capsized,M,Unknown,Unknown,Y,Unknown,Unknown
1905.01.01,1905,AUSTRALIA,Victoria,Elwood,Bathing,M,39,Unknown,Y,Unknown,Unknown
1924.04.22,1924,PANAMA,150 miles offshore,Unknown,"Floating, after falling or jumping off the Standard Oil tanker Frederick W. Weller",M,21,Unknown,N,Unknown,Unknown
2006.03.28.R,2006,Sierra Leone,Western Area,"Lumely Beach, Freetown",Fishing,M,Unknown,Unknown,Y,Unknown,Unknown
2008.12.30,2008,AUSTRALIA,Western Australia,Port Kennedy Beach,Crabbing,Unknown,Unknown,Unknown,N,9,Unknown
1960.07.02.a,1960,PAPUA NEW GUINEA,Madang,"Bimat, Bogia",Fishing,M,Unknown,buttock,N,Unknown,Unknown
1958.04.19,1958,TAIWAN,Taipei Hsien,Off Cape of Pi-tou,Diving,M,29,Unknown,N,17,mako shark
2015.11.16,2015,USA,Florida,"Playalinda Beach, Brevard County",Surfing,M,Unknown,heel,N,15,Unknown
1956.10.27,1956,SOUTH AFRICA,Western Cape Province,"Glencairn, False Bay",Free diving for sinkers,M,29,heel,N,Unknown,white shark
1988.07.17,1988,BAHAMAS,Unknown,Unknown,Diving,M,35,hand,N,Unknown,caribbean reef shark
2005.11.27,2005,USA,Florida,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,M,23,finger,N,13,Unknown
1951.06.00,1951,FRENCH POLYNESIA,Tuamotus,"Outer edge of Hikueru, one of the Central Tuamotu atolls",Spearfishing,M,39,finger,N,11,Unknown
ND.0086,1975,PAPUA NEW GUINEA,Milne Bay  Province," D'Entrecasteaux islands, 20 miles off the coast",Scuba diving,M,Unknown,Unknown,Y,Unknown,tiger shark
1935.06.00.a,1935,PAPUA NEW GUINEA,Northern (Oro) Province,"Dobu Passage,  D'Entrecasteaux Islands (between Normanby & Fergusson Islands)",Unknown,Unknown,Unknown,Unknown,N,Unknown,Unknown
1978.10.21,1978,SOUTH AFRICA,KwaZulu-Natal,"Fishing camp, St. Lucia Estuary",Fishing,M,Unknown,Unknown,Y,18,tiger shark
1978.09.02.R,1978,AUSTRALIA,Tasmania,"Cape Pillar, Storm Bay",Scuba diving for abalone,M,34,torso,N,Unknown,Unknown
1933.01.04,1933,AUSTRALIA,Queensland,"Strand Beach, Kissing Point, Townsville",Swimming,M,38,abdomen,Y,17,Unknown
2015.01.06,2015,BAHAMAS,Abaco Islands,"Tahiti Beach, Elbow Cay",Snorkeling,F,34,Unknown,N,16,white shark
1931.01.07,1931,AUSTRALIA,Queensland,"Yeppoon, near Ross Creek",Swimming,M,18,Unknown,N,16,Unknown
2002.03.24,2002,BRAZIL,Pernambuco,"Boa Viagem Beach, Recife",Swimming,M,16,Unknown,Y,17,Unknown
2007.12.18,2007,AUSTRALIA,New South Wales,Jimmy's Beach,Surfing,M,31,buttock,N,11,Unknown
1927.02.00,1927,NEW ZEALAND,South Island,"Menzies Bay, Banks Peninsula, ",Fishing,M,70,Unknown,N,Unknown,mako shark
1879.08.30.R,1879,FIJI,Lau Group,Totoya  ,Unknown,M,Unknown,heel,N,Unknown,Unknown
1886.08.00.c,1886,USA, New Jersey,"Shrewsbury River, Highlands, Monmouth County",Unknown,M,Unknown,no injury,N,Unknown,Unknown
2008.09.07,2008,AUSTRALIA,New South Wales,"Clarks Beach, Byron Bay",Surfing,M,51,no injury,N,12,Unknown
1874.04.20.R,1874,CANADA,Newfoundland,St. Pierre Bank ,Fishing,M,Unknown,Unknown,N,Unknown,white shark
1999.10.30.a,1999,USA,Florida,"Gulfstream Park beach, Palm Beach County",Body surfing,M,13,Unknown,N,15,Unknown
2008.12.06,2008,AUSTRALIA,New South Wales,Mowarry Point,Fishing,Unknown,Unknown,no injury,N,9,white shark
1870.00.00,1870,AUSTRALIA,Tasmania,Derwent River,Canoeing,M,Unknown,Unknown,N,Unknown,Unknown
1975.02.14.R,1975,SOUTH AFRICA,Western Cape Province,Plettenberg Bay,Unknown,Unknown,Unknown,Unknown,N,Unknown,mako shark
1961.04.17,1961,SOUTH AFRICA,Eastern Cape Province,Port Elizabeth Oceanarium,Diving,M,Unknown,Unknown,N,Unknown,lemon shark
2006.08.22.b,2006,BRAZIL,Pernambuco,Pina,Unknown,M,17,Unknown,Y,Unknown,Unknown
2014.03.29,2014,AUSTRALIA,Western Australia,Off Dawesville Cut,Diving for lobsters,M,38,Unknown,Y,13,Unknown
2005.03.10,2005,SOUTH AFRICA,KwaZulu-Natal,Isipingo,Unknown,M,51,Unknown,N,Unknown,tiger shark
2006.04.23.R,2006,USA,Florida,"Alligator Reef off Islamorada, Monroe County",Unknown,M,Unknown,Unknown,Y,Unknown,Unknown
2013.05.08.b,2013,USA,California,"Tourmaline Surf Park, San Diego County",Surfing,M,42,Unknown,Y,Unknown,Unknown
2007.12.19,2007,BRITISH VIRGIN ISLANDS,Green Bay,Unknown,Scuba diving,M,53,Unknown,Y,Unknown,Unknown
2010.02.04,2010,GUAM,Merizo,Achang Reef,Spearfishing (free diving),M,31,Unknown,Y,11,Unknown
1976.03.09,1976,SOUTH AFRICA,Western Cape Province,"2 km from Macassar, False Bay",Unknown,Unknown,Unknown,no injury,N,Unknown,white shark
1960.12.27.a.,1960,AUSTRALIA,New South Wales,"Bondi Beach, Sydney",Unknown,F,27,Unknown, N,Unknown,Unknown
1968.08.24,1968,USA,Florida,Half mile north of Juno Beach Pier,Playing with a frisbee in the shallows,Unknown,11,Unknown,N,16,hammerhead shark
1935.06.00.b,1935,AUSTRALIA,South Australia,Off Port Broughton,Unknown,Unknown,Unknown,Unknown,N,Unknown,Unknown
ND.0031,1942,PAPUA NEW GUINEA,Madang Province,Off Lae,"Aircraft ditched in the sea, swimming ashore",M,Unknown,Unknown,N,Unknown,Unknown
1863.02.05,1863,SOUTH AFRICA,KwaZulu-Natal,"Back Beach, Durban","Swimming, caught in strong backwash & disappeared",M,26,Unknown,Y,Unknown,Unknown
1837.00.00.a,1837,USA,South Carolina,ýSouthern Wharfý,Unknown,M,Unknown,Unknown,Y,Unknown,Unknown
1836.07.26.R,1836,SPAIN,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Y,Unknown,Unknown
1976.05.02,1976,SOUTH AFRICA,Western Cape Province,40 km off Cape Point,Competing in a light tackle game fishing,Unknown,Unknown,no injury,N,Unknown,mako shark
1946.00.00.b,1946,SOUTH AFRICA,Western Cape Province,Table Bay,Unknown,Unknown,Unknown,no injury,N,Unknown,Unknown
1947.07.00,1947,GREECE,Carpathian Sea,Dodecanese Islands,Jumped overboard ,M,Unknown,Unknown,N,Unknown,Unknown
2014.08.29.a,2014,USA,Florida,"Atlantic Beach, Duval County",Unknown,Unknown,Unknown,Unknown,N,16,Unknown
1919.03.16,1919,AUSTRALIA,New South Wales,Sydney Harbor,Cutter capsized,M,Unknown,Unknown,Unknown,15,Unknown
1915.05.15.R,1915,EGYPT,Unknown,Alexandria,Fell overboard,M,Unknown,Unknown,Y,Unknown,Unknown
2006.08.22.a,2006,BELIZE,Ambergris Caye,Near Ramon's Village,Spearfishing,M,34,Unknown,Y,Unknown,Unknown
1961.09.06,1961,AUSTRALIA,Western Australia,Broome,Attaching a line at sea,Unknown,Unknown,Unknown,Y,Unknown,Unknown
2007.09.22.b,2007,USA,Florida,Jupiter Inlet,Scuba diving,F,Unknown,Unknown,Y,Unknown,Unknown
2007.01.19,2007,AUSTRALIA,New South Wales,Brunswick Heads,Swimming,M,20,Unknown,Y,Unknown,Unknown
2007.05.08,2007,AUSTRALIA,New South Wales,Kingscliff Beach,Swimming,M,45,Unknown,Y,12,Unknown
1941.08.05,1941,AUSTRALIA,New South Wales,Parramata River,Swimming,M,Unknown,Unknown,Y,Unknown,Unknown
1881.10.16,1881,USA,Florida,"Pensacola Bay, Escambia County",Bathing,M,18,Unknown,Y,Unknown,Unknown
1873.06.09.R,1873,AUSTRALIA,New South Wales,Newcastle ,Bathing,M,Unknown,Unknown,Y,Unknown,Unknown
1937.02.02,1937,AUSTRALIA,South Australia,Port Germein,12 of the Penang's crew were returning to the ship when their 12' dinghy capsized,M,Unknown,Unknown,Y,21,Unknown
1937.03.09,1937,AUSTRALIA,Victoria,Port Melbourne,Swimming,M,43,Unknown,Y,Unknown,Unknown
1930.05.11,1930,COSTA RICA,Limï¿½ï¿½ï¿½ï¿,Off Porto Limon,Air disaster,Unknown,Unknown,Unknown,Y,Unknown,Unknown
1852.12.19,1852,AUSTRALIA,New South Wales,"Clark's Island, Sydney Harbor",Swimming,M,Unknown,Unknown,Y,Unknown,Unknown
1977.02.04,1977,AUSTRALIA,Victoria,Sorrento Back Beach,Unknown,M,Unknown,Unknown,Y,Unknown,Unknown
2000.08.10,2000,USA,Florida,Florida Keys,Attempting to illegally enter the USA,M,22,Unknown,Y,Unknown,Unknown
1881.11.13,1881,AUSTRALIA,New South Wales,"Johnstone's Bay, Sydney",Swimming,M,Unknown,Unknown,N,18,Unknown
2012.07.24,2012,USA,North Carolina,"Ocean Isle, Brunswick County",Unknown,M,12,Unknown,N,11,Unknown
1963.02.04,1963,USA,Florida,Off Key West,"S.S. Marine Sulphur Queen, laden with molten sulphur was bound from Beaumont, Texas for Norfolk, VA, when she disappeared with 39 on board",M,Unknown,Unknown,Y,Unknown,Unknown
1946.12.24.R,1946,AUSTRALIA,Queensland,"Auckland Creek, Gladstone",Unknown,Unknown,Unknown,Unknown,N,Unknown,Unknown
1803.03.00,1803,AUSTRALIA,Western Australia,"Hamelin Harbour, at Faure Island",Unknown,M,Unknown,Unknown,N,Unknown,Unknown
1960.11.11,1960,AUSTRALIA,Queensland,"Scottï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½s ",Chasing shark out of bathing area while riding on a surf-ski,M,17,Unknown, N,15,Unknown
1977.08.19,1977,SOUTH AFRICA,Western Cape Province,Off Macassar Beach,Fishing,M,Unknown,no injury,N,13,white shark
1936.07.00,1936,SOUTH AFRICA,Western Cape Province,Cape Point,"Fishing, catching snoek, Thyrsites atun",Unknown,Unknown,no injury,N,Unknown,Unknown
2014.03.18.b,2014,AUSTRALIA,Victoria,Winkipop Beach,Surfing,M,42,no injury,N,9,Unknown
2011.06.24,2011,USA,California,"San Onofre State Beach, San Diego County",Surfing,M,Unknown,no injury,N,13,white shark
1960.04.00.a,1960,SOUTH AFRICA,Western Cape Province,Saldanha Bay,Fishing,Unknown,Unknown,no injury,N,Unknown,white shark
1962.01.06,1962,SOUTH AFRICA,Western Cape Province,6 km off Groot Brak River,Fishing,Unknown,Unknown,no injury,N,Unknown,Unknown
1976.06.02.R,1976,ITALY,Reggio Calabria Province,Bovalino,Fishing,M,46,no injury,N,Unknown,blue shark
1960.10.00.b,1960,SOUTH AFRICA,Western Cape Province,False Bay,Fishing,Unknown,Unknown,no injury,N,Unknown,white shark
1994.12.09.b,1994,AUSTRALIA,Queensland,"Hinchinbrook Channel, Queensland",Murder victim,M,44,Unknown,N,Unknown,Unknown
1806.04.24,1896,USA,Unknown,Unknown,Sea Disaster,Unknown,Unknown,Unknown,Y,Unknown,Unknown
2009.04.06.a,2009,USA,California,San Diego County,Spearfishing,M,Unknown,Unknown,N,7,white shark
1848.07.00,1848,ENGLAND,Norfolk,Hunstanton,Standing,M,Unknown,Unknown,N,Unknown,Unknown
1958.08.31,1958,MEXICO,Baja California,Ensenada,Boat stopped to repair electric pump,Unknown,Unknown,Unknown,N,7,hammerhead shark
1982.02.13,1982,USA,Florida,"Palm Beach, Palm Beach County",Swimming,F,75,Unknown,Y,10,Unknown
2005.04.17.R,2005,AUSTRALIA,New South Wales,Crookhaven,Unknown,Unknown,Unknown,no injury,N,Unknown,Unknown
1953.03.00.c,1953,INDIAN OCEAN,Unknown,Between Straits of Malacca and Sri Lanka,Adrift on a 4'  raft for 32 days,Unknown,Unknown,Unknown,Y,Unknown,Unknown
1960.10.00.d,1960,RED SEA / INDIAN OCEAN,Enroute from Suez to Aden (Yemen),Unknown,Cargo ship El Gamil entroute Suez to Yemen (Aden) when her cargo shifted and she sank. 19 Egyption sailors jumped into the water and swam for several hours before being bitten by sharks,M,Unknown,Unknown,Y,Unknown,Unknown
1951.10.05,1951,NORTH ATLANTIC OCEAN,South Carolina,400 miles off the le,cargo ship Southern Isle sank at 04h00,Unknown,Unknown,Unknown,N,Unknown,Unknown
2000.05.13,2000,NEW CALEDONIA,South Province,Mont Dore,"Air Disaster - Piper aircraft crashed into the sea, killing all on board",Unknown,Unknown,Unknown,Y,Unknown,bull shark
1966.01.25,1966,INDONESIA,North Sumatra,Near Belawan,wreck of the State Oil Company ship Permina,Unknown,Unknown,Unknown,Y,Unknown,Unknown
1897.06.09,1897,YEMEN ,Socotra Islands,Socotra,Wreck of the steamship Sultan of Bombay,Unknown,Unknown,Unknown,Y,Unknown,Unknown
1959.01.31,1959,AUSTRALIA,Western Australia,South Perth,Working prawn net,M,20,Unknown,N,21,sandtiger shark
1963.09.26,1963,USA,Florida,100 miles offshore,"Commercial fishing vessel, Ev-nn, struck object & sank. Ken Crosby and  Jame & Ann Dumas adrift on makeshift raft.",Unknown,25,Unknown,Y,Unknown,dusky shark
1909.01.00,1909,ITALY,Sicily,"Off Capo San Croce, near Augusta (Catania)","On December 28, 1908, an earthquake, followed by tsunamis, destroyed coastal towns in Silcily and southern Italy, killing more than 100,000 people",Unknown,Unknown,shin,Y,Unknown,Unknown
1935.03.11,1935,AUSTRALIA,New South Wales,Newcastle,Surfing,M,Unknown,shin,N,Unknown,Unknown
1936.02.04,1936,AUSTRALIA,New South Wales,"South Steyne, Manly",Swimming,M,14,shin,Y,15,white shark
1956.06.22,1956,PORTUGAL,Madeira,Off Funchal,Longling fishing,M,23,shin,Y,Unknown,Unknown
1947.12.15.R,1947,SOUTH AFRICA,KwaZulu-Natal,Durban,Unknown,Unknown,Unknown,shin,Y,Unknown,tiger shark
2017.06.04,2017,USA,Florida,"Middle Sambo Reef off Boca Chica, Monroe County",Spearfishing,M,Unknown,shin,N,Unknown,Unknown
1998.08.12,1998,SOUTH AFRICA,Transvaal,"National Zoological Gardens Aquarium, Pretoria",Moving a shark in a net ,M,Unknown,shin,N,Unknown,sandtiger shark
2014.08.29.b,2014,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,17,shin,N,Unknown,blacktip shark
2007.05.24,2007,USA,Virginia,"Virginia Aquarium & Marine Science Center, Virginia Beach ",Reviving a sedated shark,F,40,shin,N,9,blacktip shark
2013.09.07.a,2013,USA,Florida,"New Smyrna Beach,  Volusia County",Standing,M,25,shin,N,16,Unknown
2004.05.29,2004,USA,Texas,"Pirate's Beach, Galveston Island",Wading,M,16,shin,N,19,Unknown
2012.04.00,2012,USA,Florida,"Sanibel Island, Lee County",Unknown,M,Unknown,shin,N,Unknown,Unknown
1974.02.13.a,1974,SOUTH AFRICA,KwaZulu-Natal,"Inyoni Rocks, Amanzimtoti",Swimming,M,19,shin,N,19,Unknown
2008.03.25,2008,USA,Florida,"Palm Beach Shores, Palm Beach County",Wading,M,15,shin,N,Unknown,Unknown
1962.02.04,1962,AUSTRALIA,Queensland,Greenmount Beach,Swimming,M,35,shin,N,14,Unknown
2002.11.00.a,2002,FRENCH POLYNESIA,Society Islands,Tetiaroa,"Fishing, standing in 2' of water",M,52,shin,N,Unknown,Unknown
1983.12.21,1983,SOUTH AFRICA,Eastern Cape Province,Nahoon,Swimming,M,47,shin,N,8,sandtiger shark
2001.05.23 ,2001,USA,South Carolina,"Coligny Beach, Hilton Head, Beaufort County",Swimming,M,11,shin,N,Unknown,Unknown
1979.12.21,1979,SOUTH AFRICA,Eastern Cape Province,Kenton-on-Sea,Swimming,M,18,shin,N,16,Unknown
1887.09.06,1887,CROATIA, Primorje-Gorski Kotar County,Kraljevica,Unknown,Unknown,Unknown,Unknown,Y,Unknown,Unknown
1954.11.20,1954,USA,Wake Island,Wilkes Islet Lagoon (Pacific Ocean north of the Marshall Islands),Spearfishing,M,Unknown,shoulder,N,15,blacktip shark
2011.03.29.R,2011,USA,Texas,Matagorda Beach,"Standing, holding shark pup",M,Unknown,shoulder,N,Unknown,blacktip shark
1937.02.03,1937,AUSTRALIA,Queensland,Moreton Island,Fishing,M,20,shoulder,N,Unknown,blue shark
1967.08.27,1967,USA,California,Ventura,Pulling shark from the water,M,24,shoulder,N,14,blue shark
2015.04.13,2015,USA,Florida,"Florida Keys, Monroe County",Photographing the shark,M,48,shoulder,N,Unknown,blue shark
2015.06.14.b,2015,USA,North Carolina,"Oak Island, Brunswick County",Wading,M,16,shoulder,N,17,bull shark
2002.11.14,2002,TURKS & CAICOS,Caicos Bank,French Cay,Snorkeling,F,41,shoulder,N,8,caribbean reef shark
1975.02.09,1975,AUSTRALIA,Victoria,Anglesea,Crayfishing,M,45,shoulder,N,Unknown,carpet shark
1975.07.05,1975,AUSTRALIA,Western Australia,"15 km north of Lancelin, north of Perth",Spearfishing,M,29,shoulder,N,Unknown,copper shark
1966.09.27,1966,AUSTRALIA,Queensland,"Broomfield Island, 11 miles from Heron Island on the Great Barrier Reef","Free diving, carrying speargun",M,32,shoulder,N,16,copper shark
2001.10.02,2001,AUSTRALIA,Queensland,200 miles offshore,Snorkeling,F,20,shoulder,N,13,copper shark
2002.11.17,2002,USA,Hawaii,Ka'anapali,Swimming,F,34,shoulder,N,10,grey reef shark
1973.00.00.b,1973,PALAU,Western Caroline Islands,Unknown,Scuba diving & U/W photography,M,Unknown,shoulder,N,Unknown,grey reef shark
1963.04.20,1963,USA,US Virgin Islands,"St. Thomas, Magens Bay",Swimming,M,25,shoulder,Y,13,galapagos shark
1962.08.29,1962,USA,California,"Solana Beach, San Diego County",Diving for abalone,M,39,shoulder,N,8,horn shark
2012.08.04,2012,FRENCH POLYNESIA,Tuamotus,Kaukura Atoll,Spearfishing,M,Unknown,shoulder,N,Unknown,lemon shark
1974.09.07,1974,ISRAEL,Red Sea,"North Beach, Eilat",Swimming,F,20,shoulder,N,17,mako shark
1939.07.16,1939,BAHAMAS,Andros Islands,Blue Hole,"Dress diving, filming shark & pulling it through the water for a motion picture scene",M,38,shoulder,N,12,nurse shark
1964.02.05.b,1964,NEW ZEALAND,North Island,"Hokio Beach, near Levin",Lying in 2 feet of water,M,Unknown,shoulder,N,Unknown,sand shark
1970.09.28,1970,MICRONESIA,Eastern Caroline Islands,Truk Lagoon,Diving,M,43,shoulder,N,10,silvertip shark
1930.07.11,1930,USA,Florida,"Jensen Beach, Martin County",Swimming,M,21,shoulder,N,Unknown,tiger shark
2016.09.07,2016,USA,Hawaii,"Makaha, Oahu",Swimming,F,51,shoulder,N,14,tiger shark
2003.10.31.a,2003,USA,Hawaii,"Tunnels surf break off Makua Beach, Kaua'i",Surfing,F,13,shoulder,N,7,tiger shark
2004.10.09.b,2004,USA,Hawaii,Moloka'i,Spearfishing,M,34,shoulder,N,12,tiger shark
1958.07.04.a,1958,PACIFIC OCEAN,Between Hawaii & Wake Island,600 miles northwest of Honolulu,U.S. Airforce C124 enroute from Hickham Air Base to Japan went down. The 3 survivors fashioned raft from mailbags  & were rescued 3 days after the crash.,M,31,shoulder,N,10,Unknown
1999.08.16,1999,USA,South Carolina,"Grand Strand, Myrtle Beach, Horry County",Lying prone in 2' of water,M,10,shoulder,N,17,Unknown
1972.12.26,1972,MOZAMBIQUE,Gaza,Xai Xai,Swimming,M,25,shoulder,N,15,Unknown
1994.05.28,1994,USA,Florida,"3 miles east of Jacksonville Beach, Duval County",Spearfishing,M,35,shoulder,N,Unknown,Unknown
1954.06.27,1954,AUSTRALIA,Queensland,Fitzroy Island,Pearl diving from lugger Whyalla,M,30,shoulder,N,16,Unknown
1961.12.28.c,1961,AUSTRALIA,Queensland,"Lambert's Beach, Mackay",Standing,F,18,shoulder,Y,16,Unknown
1915.03.29,1915,AUSTRALIA,Torres Strait,Near Thursday Island,Skin diving for trepang but at surface next to the boat,M,Unknown,shoulder,N,Unknown,Unknown
1960.11.27,1960,AUSTRALIA,Queensland,"Blackï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½s Beac",Swimming,M,41,shoulder, N,14,Unknown
1933.02.15.R,1933,AUSTRALIA,Torres Strait,"Barrow Point, 100 miles north of Cooktown, Queensland",Diving for trochus  from dinghy when seized by shark 6' below the surface,M,Unknown,shoulder,N,Unknown,Unknown
1990.11.01,1990,USA,Florida,"Spanish River Park Beach, Palm Beach County",Surfing,M,24,shoulder,N,9,Unknown
1971.10.23,1971,USA,Florida,"Ft. Pierce, St Lucie County",Surfing,M,18,shoulder,N,15,Unknown
1910.02.16,1910,AUSTRALIA,Western Australia,Bunbury,Surf bathing,M,Unknown,shoulder,N,21,Unknown
1955.04.13.R,1955,PAPUA NEW GUINEA,Central Province,"Hadrianï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½s (Haidana?)",Spearfishing or fishing,M,Unknown,shoulder,N,Unknown,Unknown
1903.09.16.R,1903,USA,New Jersey,"Atlantic City, Atlantic County",Fishing,M,Unknown,shoulder,N,Unknown,Unknown
2016.05.29.b,2016,USA,California,"Corona Del Mar, Newport, Orange County",Swimming,F,52,shoulder,N,16,Unknown
2016.05.03,2016,USA,Hawaii,"Wailea Beach, Maui",Floating,M,59,shoulder,N,15,Unknown
2013.09.02,2013,USA,Florida,"Ormond Beach, Volusia County",Swimming,M,17,shoulder,N,13,Unknown
